C88H24_74620E6E 0.00006396 -3369.07509496 -131.6870290397 88 24 24 1.94322722 1.94488455 1.95447321 2.41842719 2.42508354 2.42564909 2.42796909 2.42994304 2.43182905 2.45893369 2.45987423 2.46035855 2.46272546 2.46437156 2.46588025 2.46806007 2.46919346 2.46920193 2.46936724 2.46949939 2.46987889 2.47252348 2.47317085 2.47330042 120 1.42675787 1.42477246 1.42242730 1.42591526 1.42032615 1.42805675 1.42056342 1.42535248 1.42204326 1.43198751 1.42124624 1.41774708 1.42541595 1.43038514 1.41674877 1.43520696 1.42704761 1.43713362 1.42961202 1.42922341 1.42545306 1.41735347 1.43093628 1.43115494 1.42314928 1.42673490 1.41710565 1.43102853 1.42886340 1.42876857 1.42389530 1.41482137 1.42785297 1.42985705 1.42755357 1.43252687 1.41906335 1.43215058 1.43482801 1.42266896 1.43475201 1.42079126 1.41954448 1.42855389 1.46067371 1.41225474 1.39295632 1.41858098 1.42011180 1.42740051 1.43312908 1.42374108 1.43075820 1.42241510 1.43064827 1.42358350 1.43043462 1.43564375 1.43006556 1.43223067 1.42224957 1.42134229 1.42768672 1.41758539 1.42125211 1.42204120 1.43788501 1.43442110 1.42175694 1.41824403 1.43342256 1.42153180 1.42307828 1.41970265 1.43682126 1.43968947 1.43015470 1.42033286 1.42740432 1.42328891 1.42828360 1.44530327 1.42097879 1.42514942 1.42733856 1.42485144 1.42168874 1.40324179 1.42981449 1.36527882 1.37963004 1.40717067 1.43300150 1.43456680 1.39608913 1.36122671 1.39981502 1.42781671 1.36328421 1.36600677 1.42503070 1.40687932 1.39100093 1.44082202 1.44110526 1.38946900 1.35833711 1.41261756 1.41540177 1.38699592 1.44229262 1.44209925 1.38790223 1.35747013 1.41063336 1.42134466 1.36933749 1.37379431 1.41433271 1.42789303 24 1.08433683 1.08725135 1.08360075 1.08720724 1.08714868 1.08727032 1.08787235 1.08328081 1.08713567 1.08329951 1.08718860 1.08797686 1.08725575 1.08727915 1.08791131 1.08791475 1.08727781 1.08726181 1.08796588 1.08353792 1.08716171 1.08348944 1.08727839 1.08724365
C88H24_8C8B7C28 0.00004335 -3369.07324636 -131.5997540411 88 24 24 1.95320002 1.95427914 2.42579188 2.43090627 2.43101838 2.43311321 2.45734334 2.45887361 2.46155263 2.46269722 2.46399473 2.46560817 2.46618334 2.46674774 2.46739492 2.47106259 2.47142937 2.47167253 2.47230554 2.47361811 2.47555539 2.47767188 2.47823727 2.47858592 120 1.42750728 1.42314402 1.42184590 1.42296676 1.42181763 1.43211893 1.42194749 1.42289087 1.41909834 1.42959722 1.42399071 1.41854946 1.42346464 1.43289114 1.42022445 1.43369999 1.42237200 1.43692468 1.43169044 1.43112771 1.42522436 1.42414015 1.43141880 1.42037130 1.42183350 1.42911963 1.41895688 1.43492418 1.43520070 1.42781701 1.42032270 1.41562064 1.42731182 1.42692593 1.42286616 1.43157548 1.41906815 1.42907551 1.43128909 1.42309272 1.43207989 1.42086409 1.42023249 1.42952365 1.45853702 1.41516521 1.39985878 1.41866930 1.41730772 1.42760744 1.43097030 1.42254544 1.42516562 1.42548197 1.43255380 1.39970106 1.45910129 1.39751757 1.43737487 1.42096144 1.43008083 1.41357338 1.41680340 1.41968509 1.42723401 1.43507777 1.42311665 1.42271660 1.42057003 1.43517883 1.42059928 1.42270905 1.41546962 1.44193005 1.44292217 1.42028865 1.41874181 1.43383427 1.42049045 1.41914384 1.42339940 1.43182698 1.43492432 1.42536111 1.42585172 1.42964256 1.39910228 1.43579488 1.36287580 1.37802641 1.41002752 1.43143361 1.43270680 1.40234046 1.36348334 1.39615491 1.43751228 1.36044217 1.37972885 1.40809327 1.43339976 1.43530505 1.39637352 1.36187190 1.40489153 1.42131805 1.38241623 1.44467370 1.44458829 1.38405404 1.35645898 1.41996284 1.40928046 1.39394283 1.43944589 1.43880954 1.39780120 1.36083670 1.40268532 1.43532826 24 1.08443089 1.08446292 1.08736499 1.08366475 1.08722756 1.08719332 1.08728990 1.08797656 1.08735786 1.08719799 1.08366508 1.08724762 1.08716954 1.08731198 1.08786059 1.08791913 1.08730071 1.08728946 1.08795601 1.08793836 1.08732345 1.08728211 1.08807607 1.08725227
C88H24_A3D54DC8 0.00024192 -3369.06743178 -131.5579868943 88 24 24 1.95441366 1.95446114 2.43197218 2.43197743 2.43349671 2.43351294 2.45780959 2.45781397 2.46353444 2.46353878 2.46511620 2.46512187 2.46607419 2.46607436 2.46671617 2.46672244 2.47046985 2.47120523 2.47121982 2.47164369 2.47164923 2.47363348 2.47365405 2.48331125 120 1.42751143 1.42428422 1.42101480 1.42750780 1.41868367 1.42428670 1.42102003 1.43055351 1.42222833 1.43054933 1.41249377 1.42223376 1.42622148 1.43011196 1.42348684 1.43763321 1.43193873 1.42188613 1.43194222 1.42612932 1.42607859 1.41469151 1.43562165 1.43533255 1.42613670 1.42613037 1.41648532 1.42852226 1.42944050 1.42607723 1.42613633 1.41649122 1.42943436 1.42852277 1.43010744 1.42621688 1.41468847 1.43534365 1.43561635 1.42348197 1.42188387 1.43763637 1.42477670 1.42382753 1.42477185 1.42155127 1.42383087 1.39160069 1.46308834 1.40684893 1.42748273 1.42117570 1.42979476 1.41059308 1.41599885 1.42001886 1.42634184 1.43674821 1.42423952 1.42257910 1.41835466 1.43499861 1.41974548 1.42234901 1.41907813 1.43863789 1.44131383 1.42235507 1.41973813 1.43176993 1.41835445 1.42258466 1.41908476 1.44130876 1.43863780 1.42001733 1.41600766 1.43499463 1.42978819 1.42116781 1.42633748 1.42424668 1.43674204 1.46308431 1.39159050 1.41060103 1.40684648 1.42748370 1.36979233 1.42439018 1.42438916 1.36979458 1.38201018 1.40550606 1.43483392 1.43664151 1.39363827 1.36075186 1.40748577 1.41861052 1.38443277 1.44362624 1.44347713 1.38741509 1.35708692 1.41525314 1.41524963 1.38742073 1.44347613 1.44362029 1.38443534 1.35708878 1.41860905 1.40748771 1.39363906 1.43664351 1.43483336 1.40551006 1.36075534 1.38201380 24 1.08449490 1.08448638 1.08727704 1.08733993 1.08728028 1.08733998 1.08375706 1.08723733 1.08716744 1.08730325 1.08784745 1.08789624 1.08729871 1.08727483 1.08796107 1.08796099 1.08727666 1.08729942 1.08789749 1.08784667 1.08730459 1.08716567 1.08377108 1.08723652
C88H24_A8F47640 0.00005081 -3369.07008627 -131.6447362364 88 24 24 1.94883986 1.94887717 1.94949355 2.39297405 2.42747466 2.42747611 2.43074005 2.43074511 2.46041397 2.46042201 2.46373581 2.46374091 2.46419347 2.46419571 2.46420192 2.46420347 2.46594952 2.46595134 2.46691468 2.46691970 2.47049232 2.47050568 2.47296523 2.47297281 120 1.42888997 1.42388045 1.42275761 1.42473084 1.42088139 1.42887667 1.42089874 1.42389653 1.42275669 1.43395191 1.41981172 1.41982431 1.42132335 1.42867985 1.41979713 1.43517956 1.42576820 1.43358440 1.43507077 1.42950119 1.42540907 1.41530148 1.42710544 1.42935123 1.42542293 1.42949847 1.41884451 1.43313546 1.43315486 1.42866389 1.42133993 1.41531558 1.42934957 1.42708956 1.42576934 1.43505284 1.41978485 1.43360162 1.43517718 1.43299142 1.42243587 1.42244764 1.42050080 1.42955887 1.45315016 1.41472726 1.41018236 1.41641183 1.41945122 1.42602378 1.43590257 1.42299612 1.42211941 1.41842888 1.43561767 1.42190370 1.42392270 1.41806220 1.43766153 1.44186143 1.42964090 1.42202366 1.42668268 1.42203795 1.42964040 1.44286659 1.42551396 1.42553375 1.42393627 1.42190445 1.42667089 1.41841848 1.42213118 1.41807477 1.44186247 1.43765063 1.41944054 1.41642580 1.43561746 1.42955686 1.42049036 1.42601393 1.42300559 1.43589959 1.45314826 1.41016520 1.41474372 1.37596471 1.37910115 1.40829930 1.43333609 1.43557105 1.39458223 1.36163454 1.40612498 1.41839476 1.38378420 1.44296301 1.44252721 1.38670378 1.35668364 1.41121800 1.42116625 1.36916574 1.36916347 1.42116764 1.41121512 1.38670816 1.44252750 1.44295564 1.38378860 1.35668541 1.41839119 1.40613101 1.39457955 1.43557988 1.43333519 1.40829847 1.36163472 1.37910500 24 1.08340056 1.08338527 1.08349706 1.08726254 1.08715115 1.08731569 1.08781622 1.08785968 1.08727075 1.08723811 1.08796905 1.08347106 1.08717509 1.08345396 1.08717536 1.08796842 1.08724009 1.08727100 1.08785985 1.08781555 1.08731644 1.08714838 1.08351595 1.08726250
C88H24_BD446CA2 0.00006679 -3369.07197333 -131.6563344482 88 24 24 1.94362618 1.94494662 1.94961001 2.39253241 2.42461760 2.42529353 2.43038594 2.43049802 2.45823338 2.45887551 2.46100563 2.46411482 2.46419780 2.46467037 2.46580243 2.46615815 2.46848462 2.46930604 2.46945294 2.47020481 2.47037338 2.47050874 2.47358665 2.47384887 120 1.42791837 1.42269944 1.42351973 1.42447588 1.42079290 1.42804468 1.42152321 1.42424157 1.42377090 1.43409607 1.41998951 1.42059256 1.42133052 1.43204095 1.42127393 1.43445370 1.42459302 1.43444859 1.43570268 1.43031416 1.42347265 1.41678628 1.43004856 1.42993852 1.42171743 1.42820063 1.41837927 1.43113424 1.42953829 1.42901323 1.42018987 1.41530183 1.42738547 1.42717764 1.42517843 1.43462891 1.42060568 1.43346583 1.43492216 1.43317847 1.42179057 1.42237066 1.41996203 1.42883317 1.45186681 1.41607075 1.41112417 1.41910132 1.42015474 1.42709482 1.43237461 1.42273883 1.42987613 1.42422963 1.43134901 1.42459554 1.43032903 1.43293729 1.43164593 1.43299692 1.42167622 1.42128782 1.42837928 1.41821724 1.42069726 1.42313848 1.43587240 1.43335878 1.42234963 1.42073284 1.43316720 1.42055994 1.42198368 1.41510977 1.44278955 1.44172297 1.41946030 1.41693459 1.43562748 1.42990238 1.42031071 1.42627422 1.42272214 1.43495225 1.45251079 1.41089507 1.41562837 1.37523141 1.37722260 1.40988295 1.43145069 1.43331392 1.39774513 1.36241298 1.39839514 1.42876687 1.36269379 1.36481240 1.42660409 1.40486089 1.39294119 1.43961289 1.43984774 1.39232070 1.35925616 1.40949968 1.41917560 1.38389935 1.44431624 1.44444622 1.38235104 1.35636001 1.42092057 1.40450148 1.39649195 1.43480073 1.43263493 1.40927380 1.36232234 1.37842724 24 1.08332690 1.08338922 1.08342267 1.08723327 1.08714118 1.08728196 1.08786667 1.08329433 1.08713383 1.08330656 1.08718647 1.08797234 1.08725876 1.08727251 1.08792444 1.08794276 1.08727944 1.08728940 1.08790196 1.08784135 1.08731576 1.08715620 1.08352865 1.08725986
C88H26_8F1064F5 0.00020046 -3370.22096266 -131.0009612840 88 26 26 1.88899650 1.88911179 1.93061414 1.93077369 1.94692856 2.42892611 2.42892951 2.43308375 2.43308989 2.44023096 2.44024954 2.44398401 2.44403154 2.45381362 2.45383279 2.46105058 2.46106203 2.46239223 2.46239930 2.46272021 2.46272259 2.46552991 2.46554941 2.48148568 2.48150080 2.50257244 119 1.42736444 1.41862850 1.43125712 1.42337396 1.42453082 1.42735502 1.42454595 1.41864108 1.43125640 1.42954412 1.43077915 1.43078667 1.41457238 1.42894028 1.42600659 1.43732226 1.42607109 1.42887007 1.42619745 1.43157065 1.42037218 1.41709122 1.42396362 1.42766307 1.42038426 1.43156951 1.42357020 1.43391021 1.43393015 1.42892259 1.41458078 1.41710220 1.42766454 1.42394891 1.42607013 1.42618458 1.42598444 1.42887082 1.43732323 1.43548851 1.42002538 1.42003351 1.38981311 1.46861128 1.40250122 1.46120268 1.42438646 1.41628527 1.42930620 1.43764018 1.39678175 1.42307672 1.42128982 1.44181692 1.42427302 1.42473554 1.41317250 1.44059698 1.44591624 1.42817816 1.42222057 1.42675801 1.42223459 1.42817918 1.44668501 1.42120146 1.42122036 1.42474791 1.42427369 1.42674663 1.42127829 1.42309092 1.41318552 1.44591716 1.44058564 1.41627333 1.42440331 1.44181788 1.46860883 1.38979135 1.42929430 1.39679982 1.43763303 1.40249902 1.46119190 1.42211064 1.41490770 1.41491651 1.38146251 1.40282836 1.38145987 1.40424515 1.41773992 1.40825692 1.37791715 1.39245632 1.42399147 1.37825878 1.44406819 1.44346481 1.38324835 1.35534456 1.41445656 1.41696620 1.37225244 1.37224901 1.41696845 1.41445354 1.38325345 1.44346419 1.44406013 1.37826598 1.35534725 1.42399001 1.39246599 1.40825835 1.41774955 1.40424579 1.37792106 26 1.07962028 1.07960598 1.08331458 1.08639799 1.08639686 1.08331239 1.08375874 1.08689252 1.08655298 1.08764749 1.08779428 1.08724912 1.08720531 1.08795786 1.08346506 1.08716846 1.08344712 1.08716880 1.08795802 1.08720834 1.08724986 1.08779330 1.08764648 1.08378248 1.08655379 1.08689089
C88H26_A358293 0.00016663 -3370.22505622 -131.0229498184 88 26 26 1.88955406 1.88995896 1.92393431 1.93253675 1.93290490 2.42234139 2.42397047 2.43321977 2.43329051 2.43963436 2.44006694 2.44409319 2.44491360 2.45004221 2.45583954 2.45875613 2.46190926 2.46297888 2.46537600 2.46607709 2.46749618 2.47013972 2.47357434 2.48160697 2.48362149 2.50257062 119 1.42531134 1.41968239 1.43244875 1.42361064 1.42559322 1.42558957 1.42456595 1.41810453 1.43202151 1.42927432 1.43124950 1.43035642 1.41393126 1.42875288 1.42698651 1.43629954 1.42620165 1.42808452 1.42547223 1.42928979 1.41735611 1.41760881 1.42435511 1.42567321 1.41868105 1.43122304 1.42336051 1.42960960 1.43076879 1.43146005 1.41464985 1.41904261 1.42799239 1.42693576 1.42575068 1.42637851 1.42776921 1.42810584 1.43584946 1.43557229 1.42048236 1.42001389 1.39068006 1.46867234 1.40201052 1.46165991 1.42509572 1.41676784 1.42908870 1.43698155 1.39738063 1.42213430 1.42425354 1.44216553 1.42395853 1.42213454 1.40940446 1.44486271 1.44699456 1.41946446 1.41956283 1.43433232 1.42215887 1.42047255 1.42443237 1.43066243 1.43275266 1.42894824 1.42852151 1.43052137 1.42823505 1.42895531 1.42463790 1.43769898 1.43522249 1.41728173 1.42720801 1.43893484 1.46742452 1.39041347 1.42899181 1.39751699 1.43505099 1.40162826 1.46168000 1.42193071 1.41468670 1.41472395 1.38161414 1.40266535 1.38161009 1.40340739 1.41661690 1.41036064 1.37884527 1.39068261 1.42649377 1.37684138 1.44544250 1.44520577 1.38036413 1.35506819 1.42267955 1.40434443 1.39689767 1.43718620 1.43690606 1.39742000 1.36113351 1.39996936 1.42946390 1.36224582 1.35822068 1.43361686 1.38524076 1.41130449 1.41528169 1.40254613 1.37906300 26 1.07967286 1.07949786 1.08333465 1.08639488 1.08639294 1.08332746 1.08378202 1.08690769 1.08655046 1.08768233 1.08784383 1.08727018 1.08725052 1.08793516 1.08790609 1.08725140 1.08723484 1.08795625 1.08312542 1.08720389 1.08308900 1.08710629 1.08772135 1.08370200 1.08652542 1.08690316
