C84H24_11003F4C 0.00022359 -3216.57560759 -125.4681056466 84 24 24 1.91569577 1.92534854 1.92991289 1.93163486 2.38989075 2.42737014 2.42759309 2.42946051 2.43033213 2.44320468 2.44391965 2.45986168 2.46056930 2.46064383 2.46318855 2.46326608 2.46425879 2.46591395 2.46657878 2.47019363 2.47343718 2.47422919 2.47466981 2.47503571 114 1.42888092 1.42425373 1.42385985 1.42385086 1.42250302 1.43185481 1.41889607 1.42219834 1.42567887 1.43777287 1.42140592 1.41926922 1.42187456 1.43291414 1.42082816 1.44064826 1.42501904 1.43842288 1.43544338 1.43182412 1.42339844 1.42236164 1.42117469 1.43125414 1.42065485 1.42841755 1.41827295 1.43241326 1.42982286 1.43281567 1.42160977 1.41382040 1.42722010 1.43013532 1.42774663 1.43814195 1.42130501 1.43695704 1.43979525 1.43322646 1.42203777 1.41800120 1.41586703 1.42865182 1.45069666 1.41940188 1.40905839 1.42846510 1.41686778 1.42794575 1.42326278 1.42287943 1.45534839 1.39933792 1.41797751 1.42557828 1.42481047 1.39731040 1.43554269 1.41863963 1.42021825 1.42951328 1.41797073 1.41975511 1.42269246 1.43594363 1.43188715 1.42215018 1.41836155 1.43417469 1.42211884 1.42273757 1.41724653 1.43870765 1.44137607 1.42986311 1.41512182 1.42752643 1.43088764 1.42779300 1.45372086 1.40567513 1.42127968 1.45796400 1.40862982 1.40282125 1.37506214 1.37296913 1.41351719 1.42632448 1.42641007 1.41286823 1.36547032 1.37357383 1.36225804 1.43496345 1.40238498 1.39677116 1.43904924 1.43973811 1.39172223 1.35999659 1.41004540 1.41706924 1.38470712 1.44285182 1.44274224 1.38470652 1.35647708 1.41280580 1.41728733 1.37101942 1.38671740 1.38940178 24 1.08410891 1.08301952 1.08296083 1.08315317 1.08718529 1.08719299 1.08719973 1.08334294 1.08716949 1.08733381 1.08723392 1.08805695 1.08725577 1.08730947 1.08789038 1.08789380 1.08725655 1.08724594 1.08792367 1.08315155 1.08710870 1.08293419 1.08294856 1.08643331
C84H24_11F91ACE 0.00004655 -3216.56543561 -125.3829153765 84 24 24 1.93229471 1.93744953 1.94991587 1.96434257 2.41536260 2.42455934 2.42819597 2.42929885 2.43006468 2.43092765 2.43231263 2.44316874 2.44400294 2.45049556 2.45930334 2.45981366 2.46054402 2.46067700 2.46122562 2.46392471 2.46439699 2.46799300 2.46920524 2.48178135 114 1.42790361 1.42419158 1.42462076 1.42523433 1.42353825 1.43060906 1.42001525 1.41577878 1.42931737 1.43277051 1.42733694 1.42163182 1.41876345 1.42902520 1.42134773 1.44077799 1.42642746 1.44076061 1.42488765 1.43286553 1.42304642 1.41696688 1.42425637 1.42845247 1.42362449 1.43283269 1.42121580 1.43362253 1.43429776 1.43128426 1.42117937 1.41640590 1.43179523 1.42917887 1.42179330 1.43283931 1.42141309 1.43381819 1.43359911 1.42840524 1.42185945 1.42097935 1.38292259 1.47047369 1.41073764 1.41775363 1.42414631 1.41488474 1.42965651 1.43795276 1.39485312 1.42496001 1.41936695 1.44203691 1.42346508 1.42516911 1.41451644 1.44013624 1.44656874 1.42888840 1.42041601 1.42578706 1.42245098 1.43024332 1.44683721 1.42011150 1.42213306 1.43151058 1.42562406 1.42185075 1.42157791 1.43002543 1.43507786 1.43219193 1.42747788 1.41941497 1.41928677 1.43131332 1.42882953 1.42257971 1.42733371 1.42258630 1.43265332 1.44855868 1.42121604 1.41773136 1.37089471 1.40555616 1.41857193 1.40723159 1.37702504 1.39247804 1.42378773 1.37768450 1.44400786 1.44366819 1.38308462 1.35501500 1.41416206 1.41767796 1.37113419 1.37155477 1.41403287 1.42066296 1.36601850 1.36304037 1.42772567 1.39880850 1.39749112 1.43312874 1.43089570 1.41080568 1.36269787 1.37631354 24 1.08477050 1.08719563 1.08337162 1.08401572 1.08691475 1.08651275 1.08766007 1.08779006 1.08724900 1.08721200 1.08795085 1.08328893 1.08715954 1.08319051 1.08718666 1.08300551 1.08719866 1.08310170 1.08712597 1.08785145 1.08730577 1.08713424 1.08343370 1.08727587
C84H24_1284EE7E 0.00014394 -3216.57611458 -125.5485925254 84 24 24 1.91419552 1.92067207 1.92527038 1.92904130 1.93531666 2.39108284 2.42536759 2.42723611 2.42769475 2.42997342 2.43078719 2.43190963 2.44360287 2.44361507 2.45530337 2.45703378 2.45718435 2.45818076 2.46278916 2.46372650 2.46508388 2.46526906 2.46812631 2.46879424 114 1.43060413 1.42509251 1.42363895 1.42718102 1.42074721 1.43003919 1.42114384 1.42489981 1.42412788 1.43699427 1.41955536 1.41899707 1.42287355 1.43124757 1.41867227 1.43575007 1.42592740 1.43567365 1.43474412 1.43269784 1.42714717 1.41587181 1.43007799 1.43278080 1.42567194 1.43037876 1.41829629 1.43499063 1.43293519 1.43129065 1.42364778 1.41353424 1.43031901 1.43026004 1.42857522 1.43774139 1.41958788 1.43721446 1.43999196 1.43204430 1.42278159 1.41873970 1.41841385 1.42819672 1.45236006 1.41483550 1.40732082 1.41854463 1.41891640 1.42604811 1.43312211 1.42317541 1.43002235 1.42016557 1.43116023 1.42462510 1.43126865 1.43581944 1.42641866 1.43154475 1.43023693 1.42269983 1.42116317 1.41879025 1.42946289 1.44306269 1.42597785 1.42190990 1.42238935 1.41976853 1.42741525 1.41968164 1.42199894 1.41986708 1.43769862 1.43703296 1.42956151 1.41446129 1.42814514 1.43037822 1.42768445 1.45199700 1.40654042 1.42281820 1.45798343 1.40727607 1.40209576 1.37606516 1.37778077 1.40843488 1.43207531 1.43395434 1.39566600 1.36152768 1.39928150 1.42682845 1.36290036 1.36635614 1.41951855 1.41549509 1.36973485 1.36748595 1.42129955 1.40856251 1.38716579 1.44092819 1.44104839 1.38613163 1.35661671 1.40972106 1.41875834 1.36911616 1.38589934 1.38994780 24 1.08316536 1.08295189 1.08331015 1.08722807 1.08713046 1.08727773 1.08783676 1.08302287 1.08710151 1.08293344 1.08718262 1.08307840 1.08717564 1.08314766 1.08712726 1.08790694 1.08721218 1.08722039 1.08787689 1.08304759 1.08708132 1.08283920 1.08294390 1.08643127
C84H24_132D59BD 0.00011319 -3216.54055719 -125.0344378815 84 24 24 1.97169847 1.97177007 2.42839973 2.42840365 2.44203000 2.44206208 2.44413055 2.44415285 2.45621378 2.45622024 2.45833018 2.45833989 2.46285489 2.46285670 2.46663396 2.46665906 2.46722788 2.46722805 2.46871445 2.48096517 2.48097488 2.48506649 2.48507124 2.48531223 114 1.42863867 1.41669907 1.42601379 1.42863628 1.41501207 1.41669927 1.42601833 1.42909939 1.42727610 1.42909652 1.41410604 1.42727814 1.42014105 1.42874317 1.41945462 1.43244702 1.42693910 1.42062391 1.42694114 1.42528280 1.42491901 1.41375877 1.44251419 1.44755258 1.42749593 1.42749223 1.41902400 1.42579502 1.42914834 1.42491500 1.42528662 1.41903030 1.42914352 1.42579456 1.42873928 1.42013937 1.41375386 1.44755312 1.44251279 1.41944944 1.42062155 1.43244870 1.42629182 1.43153898 1.42628667 1.42188290 1.43154412 1.40077479 1.42279610 1.40426557 1.42970818 1.37936405 1.47373619 1.42325682 1.41515093 1.43198645 1.43827598 1.39365936 1.42637040 1.41779342 1.44184331 1.42113011 1.42357675 1.41799116 1.43886395 1.44590150 1.42358384 1.42112268 1.42967898 1.41779289 1.42637795 1.41799929 1.44589568 1.43886267 1.41514688 1.42326710 1.44183957 1.47373155 1.37935402 1.43197576 1.39367029 1.43826784 1.42279175 1.40077220 1.40426205 1.42970990 1.37013099 1.42509875 1.42509927 1.37013290 1.40663062 1.41945755 1.40729282 1.37617348 1.39355338 1.42445129 1.37884933 1.44469284 1.44450270 1.38630484 1.35584966 1.41588663 1.41588204 1.38631103 1.44450076 1.44468711 1.37885515 1.35585315 1.42444963 1.39356038 1.40729321 1.41946303 1.40663107 1.37617742 24 1.08788043 1.08489983 1.08489246 1.08787833 1.08715214 1.08744548 1.08715363 1.08744620 1.08412623 1.08692753 1.08653255 1.08767089 1.08781632 1.08727757 1.08723737 1.08795828 1.08795803 1.08723938 1.08727746 1.08781661 1.08767066 1.08413668 1.08653347 1.08692530
C84H24_1490E0D9 0.00017677 -3216.56119634 -125.2779353882 84 24 24 1.92991554 1.95571899 1.95900400 2.41816195 2.42378166 2.42460997 2.43293546 2.43498303 2.44301896 2.44350339 2.44832117 2.46060672 2.46179980 2.46284725 2.46367576 2.46477864 2.46524349 2.46618616 2.46738756 2.47060270 2.47277026 2.48313382 2.48349018 2.48353686 114 1.42798641 1.42430462 1.42202442 1.42980891 1.41776378 1.41811111 1.42635047 1.43094102 1.42649166 1.42883269 1.41380526 1.42333647 1.42134661 1.42788064 1.41858053 1.43211100 1.42965032 1.42056538 1.42870329 1.42517617 1.42946395 1.41447095 1.44242228 1.44740741 1.43143358 1.42597072 1.41914719 1.42834091 1.43069406 1.42325774 1.42782543 1.41828002 1.43158923 1.42810146 1.43073768 1.42494219 1.41374266 1.43525188 1.43541729 1.42326804 1.42244524 1.43808083 1.42443443 1.43131045 1.42600366 1.42177665 1.42373988 1.40047577 1.42107865 1.40174204 1.43092650 1.37822495 1.47177732 1.42619452 1.41424026 1.43070063 1.43570579 1.39415460 1.43407692 1.42151606 1.43851832 1.42537151 1.43067234 1.43188887 1.43112276 1.43740384 1.42276239 1.42157024 1.42676948 1.41634931 1.42224249 1.42159241 1.44035224 1.43419043 1.41982562 1.41592290 1.43534322 1.42950680 1.42170390 1.42579880 1.42458571 1.43742677 1.46315793 1.39066257 1.40968081 1.40884189 1.42589265 1.37180707 1.42208267 1.42716535 1.36803098 1.40517341 1.41743779 1.40896765 1.37678882 1.38666610 1.43277102 1.35845973 1.36518443 1.42540768 1.40695027 1.39026819 1.44161456 1.44204332 1.38589416 1.35738276 1.41595945 1.40878848 1.39203967 1.43727851 1.43536424 1.40462646 1.36023549 1.38260171 24 1.08785299 1.08465697 1.08453982 1.08721510 1.08737541 1.08716277 1.08740355 1.08395586 1.08692694 1.08650307 1.08771933 1.08305397 1.08709579 1.08308843 1.08720093 1.08796819 1.08722198 1.08726401 1.08784824 1.08781236 1.08729649 1.08714174 1.08379683 1.08725576
C84H24_1503D4AA 0.00028566 -3216.56825799 -125.4078043239 84 24 24 1.93132963 1.93492227 1.94347419 1.95072180 2.39563996 2.39670305 2.42638711 2.42650689 2.43087964 2.43170785 2.44270895 2.45489426 2.46008591 2.46090014 2.46103339 2.46154116 2.46344780 2.46547315 2.46604427 2.46764101 2.46850133 2.46878689 2.47229000 2.48511855 114 1.42965239 1.42376195 1.42302487 1.42843366 1.41926582 1.42818554 1.42146391 1.43090048 1.42266736 1.43636068 1.41315929 1.41948448 1.42479145 1.43336180 1.42260195 1.44349046 1.43296890 1.42809045 1.43785181 1.42993629 1.42840012 1.41223136 1.43679789 1.43825053 1.42794524 1.42964259 1.41775047 1.43247021 1.43342913 1.42759752 1.42297486 1.41519292 1.43042189 1.42777926 1.42778672 1.43366877 1.41748745 1.43414031 1.43571587 1.43232208 1.42150382 1.42429032 1.42635522 1.42876069 1.45864765 1.40089251 1.40554144 1.38079144 1.46333706 1.41368922 1.41203058 1.41781795 1.42810017 1.40990938 1.41792700 1.41982476 1.42582583 1.43430978 1.42485390 1.43068010 1.42002493 1.43032034 1.42226466 1.42970043 1.43825630 1.42737129 1.43070846 1.42316018 1.42177356 1.42657354 1.41766161 1.42184611 1.41851098 1.44155458 1.43684175 1.41907520 1.41620576 1.43561882 1.42929189 1.41963368 1.42513672 1.42355549 1.43641381 1.45416332 1.40655702 1.41357349 1.37789189 1.39909092 1.38202443 1.38096247 1.40478588 1.43377033 1.43527596 1.39366733 1.36020457 1.40102551 1.42603314 1.36369899 1.36730308 1.42216945 1.40963896 1.38714418 1.44204678 1.44245893 1.38399450 1.35666335 1.41725252 1.40661513 1.39339740 1.43589225 1.43371149 1.40708770 1.36114044 1.37978362 24 1.08406284 1.08349755 1.08327145 1.08356181 1.08701742 1.08648729 1.08349795 1.08718568 1.08713355 1.08725279 1.08784277 1.08316407 1.08711260 1.08316514 1.08717053 1.08795663 1.08722691 1.08726350 1.08784175 1.08780185 1.08731076 1.08714456 1.08345186 1.08725446
C84H24_1508266B 0.00025280 -3216.57379818 -125.4563420841 84 24 24 1.93129652 1.93484220 1.94818317 1.95209817 2.39407325 2.41768581 2.42559588 2.42605897 2.42772380 2.42923819 2.43167251 2.44367351 2.45448730 2.46008986 2.46020701 2.46188577 2.46292766 2.46712618 2.46793531 2.46810581 2.46861134 2.47087975 2.47094951 2.48518389 114 1.42955179 1.42759773 1.42119434 1.42754058 1.41968463 1.42606862 1.42233173 1.43270726 1.41759800 1.43147584 1.41618142 1.42195215 1.43057963 1.42992859 1.42274540 1.42311012 1.42941532 1.43616019 1.43603880 1.42665465 1.42664658 1.41673196 1.43445090 1.43192341 1.42740069 1.42899354 1.41540374 1.43031913 1.43072045 1.43020306 1.42814630 1.41713676 1.43205918 1.43184196 1.43034488 1.42908130 1.41430486 1.43930392 1.43670177 1.41917005 1.42904257 1.44302882 1.46620884 1.38751003 1.42723934 1.39743930 1.42879253 1.42262148 1.42663812 1.40604344 1.42734300 1.42798609 1.42311498 1.42177000 1.42027435 1.42968181 1.44185086 1.42725474 1.42297268 1.42210672 1.41954645 1.42821447 1.42008143 1.42187968 1.42218960 1.43503680 1.43561005 1.43003732 1.42224836 1.42779219 1.42122384 1.43071794 1.43598189 1.43164145 1.42970367 1.41976975 1.41824445 1.43047138 1.42797421 1.41733851 1.42634150 1.42467579 1.43364861 1.46320945 1.38136372 1.41048380 1.41289865 1.41356732 1.37993020 1.40140220 1.36665598 1.42558849 1.41609452 1.37178916 1.36698197 1.42320507 1.40689817 1.38985243 1.43988269 1.43978898 1.39034461 1.35797059 1.40598616 1.42452020 1.36545583 1.36307257 1.42683828 1.40011718 1.39447064 1.43503755 1.43351769 1.40522714 1.36033868 1.38048070 24 1.08454100 1.08402601 1.08703037 1.08380820 1.08645954 1.08723772 1.08722657 1.08335241 1.08727050 1.08339287 1.08714308 1.08791888 1.08723894 1.08722928 1.08793448 1.08315303 1.08716356 1.08312630 1.08712191 1.08785061 1.08725576 1.08713456 1.08347642 1.08718709
C84H24_168BD166 0.00008929 -3216.57979366 -125.5852153524 84 24 24 1.90721515 1.91268541 1.91555810 1.92896508 1.94523682 2.41267366 2.42641668 2.42834697 2.42972971 2.43022943 2.43067907 2.43154698 2.43166764 2.44300668 2.44490732 2.45468562 2.45636045 2.45999145 2.46111419 2.46320173 2.46694472 2.46707001 2.47019953 2.47114585 114 1.42806569 1.42593522 1.42287500 1.42830291 1.42077541 1.43064428 1.42058633 1.42741852 1.42227424 1.43386885 1.42073956 1.41769051 1.42919623 1.43164000 1.41575156 1.43976757 1.43074857 1.44047314 1.43134621 1.43061353 1.42959727 1.41629408 1.43334388 1.43374368 1.42664822 1.42869385 1.41719385 1.43444705 1.43220892 1.42801082 1.42532655 1.41428389 1.43067576 1.43038426 1.42868391 1.43140012 1.41729441 1.43258711 1.43511015 1.42197858 1.43238532 1.42232523 1.42771156 1.42803653 1.46509857 1.39924510 1.38948297 1.41571916 1.43011948 1.45305227 1.41953315 1.40726104 1.43090393 1.42013345 1.42201203 1.42096455 1.43128184 1.44117090 1.42396319 1.42550665 1.43019222 1.42294404 1.42119644 1.41902462 1.42983018 1.44098171 1.42743873 1.42379878 1.42177433 1.41983027 1.42767234 1.41957773 1.42216575 1.42137663 1.43608883 1.43592625 1.42940405 1.41967230 1.42798401 1.42259112 1.42740506 1.44271615 1.42200420 1.42639925 1.42657906 1.42250465 1.42167083 1.40384894 1.42847042 1.36569544 1.39125549 1.38419937 1.37025151 1.41363150 1.41912946 1.36599358 1.36792810 1.41710368 1.41742409 1.36806744 1.36669901 1.42256645 1.40743300 1.38879952 1.44042922 1.44044082 1.38879672 1.35742671 1.40768182 1.42233550 1.36741843 1.37240983 1.41510805 1.42655144 24 1.08387448 1.08719368 1.08300501 1.08271551 1.08643112 1.08280988 1.08711502 1.08280813 1.08713353 1.08282212 1.08716939 1.08302751 1.08717387 1.08311181 1.08714440 1.08791098 1.08721954 1.08721917 1.08790969 1.08337135 1.08714096 1.08333570 1.08727054 1.08723187
C84H24_17B15DA1 0.00005978 -3216.56066619 -125.2687431448 84 24 24 1.92704319 1.93125699 1.96701613 2.41490556 2.43013654 2.43040010 2.44216768 2.44385535 2.44462933 2.44490659 2.45380857 2.45829434 2.45934538 2.46231284 2.46374210 2.46424155 2.46514762 2.46707405 2.46968799 2.47019957 2.47778379 2.47809373 2.47836536 2.48155558 114 1.42907478 1.42261382 1.42122351 1.41624825 1.42718615 1.43307203 1.42713883 1.42334046 1.42015273 1.43012745 1.42430820 1.42036458 1.42236053 1.43362154 1.42177991 1.43793628 1.42364024 1.43959910 1.43484694 1.42342101 1.42546938 1.41883157 1.43017128 1.41799135 1.42039747 1.42965961 1.41841826 1.44147565 1.44581169 1.42981743 1.41928330 1.41760829 1.42502278 1.42587280 1.42096562 1.43086605 1.41993825 1.43022503 1.43110514 1.42307977 1.42786725 1.42159919 1.42890268 1.42991625 1.46411285 1.40196356 1.39813643 1.41785285 1.42949199 1.45922393 1.41405867 1.40408150 1.42667421 1.43350259 1.42296617 1.40289581 1.41959075 1.39617426 1.43490088 1.37914795 1.47284126 1.42473298 1.41450889 1.43037867 1.43721002 1.39431770 1.42609791 1.42138111 1.44204726 1.42200528 1.42410270 1.41255030 1.44395237 1.44754037 1.41920922 1.41949205 1.43327225 1.41993818 1.41801048 1.42389858 1.43135389 1.43308880 1.42520063 1.42413643 1.43041494 1.39925361 1.43568558 1.36270914 1.38937993 1.38749252 1.37878211 1.40776002 1.43308848 1.36149174 1.40566415 1.41829302 1.40895030 1.37695434 1.39120404 1.42647404 1.37651370 1.44560456 1.44555943 1.38125402 1.35494272 1.42212757 1.40683054 1.39561615 1.43875264 1.43820769 1.39851686 1.36120205 1.40178394 1.43527302 24 1.08783492 1.08473587 1.08413761 1.08731869 1.08317217 1.08317250 1.08645222 1.08333212 1.08725668 1.08713720 1.08728336 1.08403745 1.08693551 1.08653098 1.08769419 1.08785135 1.08727497 1.08725907 1.08794528 1.08792482 1.08729903 1.08726461 1.08804198 1.08724359
C84H24_18246A18 0.00006588 -3216.57580862 -125.4808816445 84 24 24 1.91192287 1.91750788 1.93758355 1.94904759 2.41400995 2.42644786 2.42726482 2.42747909 2.42927087 2.43239564 2.44258416 2.44497318 2.45388487 2.45973415 2.46141236 2.46389436 2.46412123 2.46541754 2.46862943 2.47094707 2.47113960 2.47168932 2.47394859 2.47471238 114 1.42540183 1.42622596 1.42401633 1.43203029 1.41722546 1.42758743 1.42050181 1.42876674 1.42273685 1.43355163 1.41950827 1.41661886 1.43025459 1.42850646 1.41507185 1.43986534 1.43404747 1.43776669 1.42963268 1.42868211 1.43042831 1.41521918 1.43763849 1.43680310 1.43010535 1.42629967 1.42237298 1.42252782 1.43307841 1.42497498 1.42652493 1.41588594 1.43121678 1.43038010 1.43074462 1.43016641 1.41650707 1.43133264 1.43445935 1.42290891 1.43354671 1.42267675 1.42912242 1.43030677 1.46658478 1.39779774 1.38855160 1.41298527 1.43126462 1.44863787 1.42748716 1.40958053 1.41942288 1.41752720 1.43048567 1.42786732 1.42031817 1.42671266 1.42403081 1.43508327 1.45941871 1.39531169 1.41139810 1.42324374 1.42478533 1.40098041 1.43377194 1.41902095 1.41904497 1.42907009 1.42008212 1.42132002 1.42252794 1.43437544 1.43336570 1.42995082 1.42031419 1.42889702 1.42355941 1.42795796 1.44118230 1.42331658 1.42792817 1.42684959 1.42213973 1.42137167 1.40558544 1.42761486 1.36663560 1.39323225 1.38262843 1.36517048 1.42321316 1.40255360 1.39219963 1.43578759 1.43399772 1.40570463 1.35990420 1.37999678 1.36342865 1.43338718 1.40362387 1.39521057 1.43898885 1.43947271 1.39152603 1.35946649 1.40630912 1.42404319 1.36677168 1.37162549 1.41646349 1.42568731 24 1.08422868 1.08399224 1.08719742 1.08310426 1.08273257 1.08644519 1.08291863 1.08706519 1.08780250 1.08725661 1.08710673 1.08347144 1.08722442 1.08729841 1.08722434 1.08801779 1.08723698 1.08726933 1.08792013 1.08343273 1.08715390 1.08337929 1.08727818 1.08723864
